id,source_url,date_collected,sentence,MACHINE,COMPONENT,DEFECT_TYPE,ERROR_CODE,LOCATION,notes
24,https://hlauto.vn,7/2/2026,"Thỉnh thoảng PLC mất kết nối ngẫu nhiên, báo lỗi Er02.",,PLC,,Er02,,
25,https://hlauto.vn,7/2/2026,Biến tần Danfoss FC302 11kW báo lỗi Trip 16,,Biến tần Danfoss FC302 11kW,,Trip 16,,
26,https://hlauto.vn,7/2/2026,"SCR chỉnh lưu pha R bị chập, làm điện áp DC tăng vọt",,SCR chỉnh lưu pha R,chập,,,
27,https://hlauto.vn,7/2/2026,"Tháng 8/2024, anh Minh mang biến tần Yaskawa A1000 22kW đến HLAuto",,biến tần Yaskawa A1000 22kW,,,,
28,https://hlauto.vn,7/2/2026,"Biến tần ABB ACS550 sửa thay IGBT pha Uch chính hỏng (8.5 triệu), IGBT hỏng (3.2 triệu), tụ nguồn hỏng (1.5 triệu)",,Biến tần ABB ACS550; IGBT; IGBT,,,,
29,https://hlauto.vn,7/2/2026,"Khi thay IGBT, kỹ thuật viên tra keo tản nhiệt không đều, có bọt khí.",,IGBT,,,,
30,https://hlauto.vn,7/2/2026,"Biến tần giao khách, chạy 1-2 tuần sẽ báo OH hoặc IGBT chết do quá nhiệt.",Biến tần,IGBT,chết do quá nhiệt,OH,,
31,https://hlauto.vn,7/2/2026,"Anh Dũng - chủ xưởng mộc ở Hà Đông, nhờ thợ sửa điện gần nhà sửa biến tần Delta 5.5kW với giá 800k",biến tần Delta 5.5kW,,,,xưởng mộc ở Hà Đông,
32,https://hlauto.vn,7/2/2026,"Thợ dùng tụ điện Trung Quốc giá rẻ (50k/cái thay vì 350k Nippon), không test kỹ, chỉ chạy thử 10 phút là giao khách.",,tụ điện Trung Quốc,,,,
33,https://hlauto.vn,7/2/2026,Biến tần Yaskawa L1000A sửa xong,Biến tần Yaskawa L1000A,,,,,
34,https://hlauto.vn,7/2/2026,"Lỗi OC và OH là 2 lỗi phổ biến nhất, chiếm gần 40% tổng số case",,,,OC; OH,,
35,https://hlauto.vn,7/2/2026,"Lỗi không lên nguồn tuy ít gặp hơn nhưng thời gian xử lý lại lâu nhất (4-8 giờ) do cần kiểm tra nhiều khâu từ nguồn vào đến bo nguồn, tụ, diode...",,,Lỗi không lên nguồn,,,
36,https://hlauto.vn,7/2/2026,"Lỗi giao tiếp ít gặp nhất (chỉ 5-8% case) nhưng lại khó chẩn đoán nhất với kỹ thuật viên mới, đòi hỏi hiểu biết về giao tiếp công nghiệp.",,,Lỗi giao tiếp,,,
37,https://hlauto.vn,7/2/2026,"Các lỗi liên quan đến môi trường (OH, bụi bẩn) xử lý nhanh nhất",,,,OH,,
38,https://hlauto.vn,7/2/2026,"Các lỗi liên quan đến phần cứng (OC do IGBT cháy, không lên nguồn) mất thời gian hơn",,IGBT,cháy,OC,,
39,https://hlauto.vn,7/2/2026,Delta VFD-E 15kW không lên nguồn,Delta VFD-E 15kW,,,,,
40,https://hlauto.vn,7/2/2026,"Tháng 3/2024, một khách hàng xưởng may ở Bắc Ninh gửi biến tần Delta VFD-E 15kW về HLAuto",biến tần Delta VFD-E 15kW,,,,xưởng may ở Bắc Ninh,
41,https://hlauto.vn,7/2/2026,Mitsubishi FR-A840 37kW không lên nguồn,Mitsubishi FR-A840 37kW,,không lên nguồn,,,
42,https://hlauto.vn,7/2/2026,"Tháng 6/2024, một nhà máy nhựa ở Đồng Nai gặp sự cố biến tần Mitsubishi FR-A840 37kW không lên nguồn",Mitsubishi FR-A840 37kW,,không lên nguồn,,nhà máy nhựa ở Đồng Nai,
43,https://hlauto.vn,7/2/2026,"Lỗi OC (Overcurrent) là lỗi phổ biến nhất trong các lỗi thường gặp ở biến tần, chiếm đến 20-25% tổng số case.",,,,OC,,
44,https://hlauto.vn,7/2/2026,"Biến tần hiển thị mã lỗi OC, OC1 (khi tăng tốc), OC2 (khi giảm tốc), OC3 (khi chạy ổn định), hoặc OCA (khi tự động chạy), và ngắt ngay lập tức để bảo vệ IGBT khỏi cháy.",,IGBT,,OC; OC1; OC2; OC3; OCA,,
45,https://hlauto.vn,7/2/2026,"Tháng 7/2024, một xưởng cơ khí ở Bình Dương gửi biến tần Schneider ATV320 11kW về HLAuto.",biến tần Schneider ATV320 11kW,,,,xưởng cơ khí ở Bình Dương,
46,https://hlauto.vn,7/2/2026,"Báo lỗi OC ngay khi nhấn Start, motor chưa kịp quay.",motor,,,OC,,
47,https://hlauto.vn,7/2/2026,Lỗi OV (Overvoltage) xảy ra khi điện áp DC Bus vượt quá ngưỡng cho phép,,,điện áp DC Bus vượt quá ngưỡng cho phép,OV,,
48,https://hlauto.vn,7/2/2026,"Với biến tần 220V, ngưỡng thường là 400-410VDC, còn biến tần 380V là 750-800VDC.",biến tần 220V,,,,,
49,https://hlauto.vn,7/2/2026,"Tháng 5/2024, một xưởng dệt ở Nam Định gặp lỗi OV liên tục trên 3 biến tần Delta VFD-C2000 7.5kW điều khiển motor cuốn vải.",motor cuốn vải,biến tần Delta VFD-C2000 7.5kW,,OV,xưởng dệt ở Nam Định,
50,https://hlauto.vn,7/2/2026,Lỗi UV (Undervoltage) xảy ra khi điện áp DC Bus giảm xuống dưới ngưỡng cho phép.,,,DC Bus giảm xuống dưới ngưỡng cho phép,UV,,
51,https://hlauto.vn,7/3/2026,"Lỗi giao tiếp (Communication Error) xảy ra khi biến tần và PLC không truyền nhận dữ liệu được qua các chuẩn RS485, Modbus RTU, Profibus, Ethernet/IP.",biến tần; PLC,,,,,
52,https://hlauto.vn,7/3/2026,"Tháng 10/2024, một dự án băng tải ở Long An gặp lỗi giao tiếp giữa PLC S7-1200 và 8 biến tần Schneider ATV320",băng tải,PLC S7-1200; biến tần Schneider ATV320,lỗi giao tiếp,,Long An,
53,https://hlauto.vn,7/3/2026,"Tháng 8/2024, xưởng chế biến gỗ ở Đồng Nai gửi về 4 biến tần Mitsubishi FR-A840 (mỗi cái ~25 triệu)",biến tần Mitsubishi FR-A840,,,,xưởng chế biến gỗ ở Đồng Nai,
54,https://hlauto.vn,7/3/2026,Lỗi OL (Overload) xảy ra khi biến tần phát hiện tải vượt quá khả năng cho phép trong thời gian dài,biến tần,,tải vượt quá khả năng cho phép,OL,,
55,https://hlauto.vn,7/3/2026,"Biến tần INVT GD200-037G/045P-4 (37kW), dây chuyền cưa xẻ gỗ",dây chuyền cưa xẻ gỗ,Biến tần INVT GD200-037G/045P-4 (37kW),,,,
56,https://hlauto.vn,7/3/2026,"Báo lỗi OL1 dù tải nhẹ, motor gần như không kéo gì.",motor,,,OL1,,
57,https://hlauto.vn,7/3/2026,"Băng tải bị kẹt con lăn, trục bơm bị mài mòn gây ma sát cao, cánh quạt dính bụi đóng cứng, khớp nối bị khóa",Băng tải,con lăn; trục bơm; cánh quạt; khớp nối,kẹt; mài mòn gây ma sát cao; dính bụi đóng cứng; khóa,,,
58,https://hlauto.vn,7/3/2026,"Biến tần Yaskawa GA500-4045 (45kW) báo OL3 lúc khởi động buổi sáng, chạy bình thường buổi chiều",Biến tần Yaskawa GA500-4045 (45kW),,,OL3,,
59,https://hlauto.vn,7/3/2026,"Biến tần Fuji FVR 7.5kW đột nhiên tắt lúc 14h chiều, toàn bộ 20 máy may trên chuyền dừng hẳn",máy may,Biến tần Fuji FVR 7.5kW,dừng,,,
60,https://hlauto.vn,7/3/2026,"Biến tần INVT GD200-15kW báo lỗi ""P-UE"" (Undervoltage), đèn nguồn sáng mờ",Biến tần INVT GD200-15kW; đèn nguồn,,,P-UE,,
61,https://hlauto.vn,7/3/2026,5 biến tần Delta VFD185 ngừng hoạt động cùng lúc,biến tần Delta VFD185,,,,,
62,https://hlauto.vn,7/3/2026,Biến tần ABB ACS880 không lên nguồn dù điện 3 pha đo đủ 380V,Biến tần ABB ACS880,,không lên nguồn,,,
63,https://hlauto.vn,7/3/2026,"3 biến tần Fuji FVR0090 chạy bơm 15kW báo lỗi mất nguồn luân phiên: thứ 2 mất V1, thứ 4 mất V2, thứ 6 mất V3",bơm 15kW,biến tần Fuji FVR0090,mất nguồn luân phiên,,,
64,https://hlauto.vn,7/3/2026,Contactor Omron chính hãng nhưng cuộn hút 220V bị nóng chảy do pha R trong tủ điện lệch điện áp 20% so với pha S và T — tạo ra dòng điện bất đối xứng gây nóng cuộn dây theo chu kỳ.,,Contactor Omron; cuộn hút 220V,bị nóng chảy,,,
65,https://hlauto.vn,7/3/2026,Biến tần INVT GD200-18.5kW thay cầu chì đến lần thứ 5 trong một tháng — mỗi lần đứt là lại mất nguồn và dừng dây chuyền.,dây chuyền,Biến tần INVT GD200-18.5kW,đứt; mất nguồn,,,
66,https://hlauto.vn,7/3/2026,Biến tần Delta VFD7500 đo DC Bus = 540V nhưng màn hình hoàn toàn tối đen. Đội kỹ thuật nhà máy đã thay keypad mới nhưng vẫn không lên.,màn hình,Biến tần Delta VFD7500,tối đen,,,
67,https://hlauto.vn,7/3/2026,Đây là nguyên nhân phổ biến nhất của OV3,,,,OV3,,
68,https://hlauto.vn,7/3/2026,"Đầu năm 2024, mình nhận ca từ một nhà máy cơ khí tại Hà Đông – Hà Nội.",,,,,nhà máy cơ khí tại Hà Đông – Hà Nội,
69,https://hlauto.vn,7/3/2026,Thiết bị là cẩu trục 5 tấn dùng biến tần INVT 15kW,cẩu trục 5 tấn,biến tần INVT 15kW,,,,
70,https://hlauto.vn,7/3/2026,"Reset lỗi OV3 mà không kiểm tra điện trở xả và ramp-down là sửa triệu chứng, không sửa bệnh",,,,OV3,,
71,https://hlauto.vn,7/3/2026,"Kỹ thuật viên nhà máy đã tra tài liệu iG5A, tăng thời gian tăng tốc từ 5s lên 15s theo hướng dẫn xử lý OC, nhưng biến tần vẫn báo lỗi ngay khi khởi động, thậm chí không chạy được đến 5 Hz.",biến tần,,,OC,,
72,https://hlauto.vn,7/3/2026,"Biến tần chạy bình thường ở chế độ manual (bàn phím), nhưng khi PLC Siemens S7-1200 gửi lệnh Run qua RS485, biến tần không phản hồi",Biến tần; PLC Siemens S7-1200,,không phản hồi,,,
73,https://hlauto.vn,7/3/2026,"Biến tần Fuji Frenic Mega FRN030G1S-4A 30 kW báo lỗi OC ngay khi tăng tần số lên 35 Hz, dừng máy giữa chừng",máy,Biến tần Fuji Frenic Mega FRN030G1S-4A 30 kW,dừng; giữa chừng,OC,,
74,https://hlauto.vn,7/3/2026,"Lịch sử trip U12–U15 toàn là OC, không có OH hay OV xen kẽ.",,,,OC; OH; OV,,
75,https://hlauto.vn,7/3/2026,"FRENIC-Ace phủ dải công suất rộng từ 0,4 kW đến 630 kW, hỗ trợ cả điều khiển V/F lẫn vector không cảm biến",FRENIC-Ace,,,,,
76,https://hlauto.vn,7/3/2026,"FRENIC-Mini dải công suất nhỏ từ 0,1 kW đến 15 kW, thiết kế compact, lập trình đơn giản.",FRENIC-Mini,,,,,
77,https://hlauto.vn,7/3/2026,"FRENIC-Mega là dòng chuyên cho tải nặng: máy nén khí, cẩu trục, máy ép nhựa, máy nghiền, thang máy công nghiệp.",máy nén khí; cẩu trục; máy ép nhựa; máy nghiền; thang máy công nghiệp,FRENIC-Mega,,,,
78,https://hlauto.vn,7/3/2026,"FRENIC-HVAC tối ưu cho hệ thống điều hòa trung tâm, quạt hút-thổi, chiller; tích hợp PID tự động, hỗ trợ BACnet và Modbus, tiết kiệm điện năng đáng kể",hệ thống điều hòa trung tâm; quạt hút-thổi; chiller,FRENIC-HVAC,,,,
79,https://hlauto.vn,7/3/2026,"FRENIC-Aqua chuyên cho trạm bơm cấp thoát nước, thủy lợi, giàn bơm đa máy",trạm bơm cấp thoát nước; giàn bơm đa máy,FRENIC-Aqua,,,,
80,https://hlauto.vn,7/3/2026,"Lỗi OC trên biến tần Fuji là mã lỗi phổ biến nhất, đặc biệt ở FRENIC-Mega và FRENIC-Ace.",biến tần Fuji; FRENIC-Mega; FRENIC-Ace,,,,,
81,https://hlauto.vn,7/3/2026,Biến tần lỗi OV thường xuất hiện khi motor phanh đột ngột hoặc tải hồi năng lượng về bus DC.,motor,,,OV,,
82,https://hlauto.vn,7/3/2026,Lỗi UV (UV Fuji) xuất hiện khi điện áp DC bus thấp hơn ngưỡng tối thiểu.,,,điện áp DC bus thấp hơn ngưỡng tối thiểu,UV; UV Fuji,,
83,https://hlauto.vn,7/3/2026,"Biến tần Fuji có cảm biến nhiệt tốt, sẽ bảo vệ ngay khi nhiệt độ heatsink vượt ngưỡng (thường 95°C với FRENIC-Ace)",Biến tần Fuji; cảm biến nhiệt; FRENIC-Ace,,,,,
84,https://hlauto.vn,7/3/2026,Lỗi EF / GF (lỗi chạm đất biến tần Fuji) chỉ ra dòng rò từ dây pha xuống vỏ thiết bị.,,,lỗi chạm đất,EF; GF,,
85,https://hlauto.vn,7/3/2026,Lỗi PHL (mất pha) yêu cầu kiểm tra ngay nguồn 3 pha đầu vào và tiếp điểm CB/contactor.,,CB; contactor,,PHL,,
86,https://hlauto.vn,7/3/2026,"Biến tần báo OC liên tục vào đầu ca sáng, reset được nhưng sau 10–15 phút lại tái diễn.",Biến tần,,,OC,,
87,https://hlauto.vn,7/3/2026,Biến tần báo OV (OV Fuji) mỗi khi băng tải dừng khẩn cấp theo lệnh E-Stop.,,,,OV; OV Fuji,,
88,https://hlauto.vn,7/3/2026,"Chớm vào những ngày nắng nóng, máy báo lỗi OH (OH Fuji) 2 - 3 lần trên ngày, quạt vẫn quay bình thường, tắt đi 10 - 15 phút thì bật lại được",máy,quạt,,OH; OH Fuji,,
89,https://hlauto.vn,7/3/2026,"Biến tần báo GF (lỗi chạm đất biến tần Fuji) ngay khi cấp nguồn, không khởi động được.",Biến tần; biến tần Fuji,,lỗi chạm đất; không khởi động được,GF,,
90,https://hlauto.vn,7/3/2026,"Biến tần báo luân phiên UV và OC3 không theo quy luật rõ ràng, thường vào giờ cao điểm tải",Biến tần,,,UV; OC3,,
91,https://hlauto.vn,7/3/2026,"Biến tần LS được phân phối rộng rãi qua hệ thống đại lý trải dài toàn quốc, giá thành cạnh tranh và linh kiện thay thế khá sẵn có",Biến tần LS,,,,,
92,https://hlauto.vn,7/3/2026,IGBT là trái tim của mạch nghịch lưu — chịu dòng lớn và nhiệt cao.,,IGBT,,,,
93,https://hlauto.vn,7/3/2026,"Khi IGBT bị ngắn mạch hoặc hở mạch, máy sẽ trip OC ngay khi cấp điện hoặc không xuất điện ra motor.",máy,IGBT; motor,ngắn mạch; hở mạch,OC,,
94,https://hlauto.vn,7/3/2026,Tụ điện phân cực (electrolytic capacitor) ở tầng DC link có tuổi thọ 5–10 năm,,Tụ điện phân cự,,,,
95,https://hlauto.vn,7/3/2026,"Tụ yếu làm điện áp DC bus dao động mạnh, gây OV hoặc UV bất thường, đặc biệt rõ khi tải thay đổi đột ngột.",,Tụ yếu,,OV; UV,,
96,https://hlauto.vn,7/3/2026,"Biến tần trip OC ngay khi nhấn Run, không khởi động được motor",motor,Biến tần,không khởi động đượ,OC,,
97,https://hlauto.vn,7/3/2026,Khách hàng đã thử reset nhiều lần nhưng lỗi vẫn tái diễn.,,,,,,
98,https://hlauto.vn,7/3/2026,"Sau khi đo offline, phát hiện IGBT phase V ngắn mạch C–E",,IGBT phase V,ngắn mạch C–E,,,
99,https://hlauto.vn,7/3/2026,"Tụ DC bus còn tốt, board điều khiển không bị ảnh hưởng.",,Tụ DC bus; board điều khiển,,,,
100,https://hlauto.vn,7/3/2026,"Máy chạy được 10–15 phút rồi trip OH , bắt buộc phải dừng bơm làm mát máy sản xuất bên dưới.",Máy; bơm làm mát máy sản xuất,,,OH,,
101,https://hlauto.vn,7/4/2026,"Dòng sản phẩm có nhiều model như KDE200, KDE300A, KDE500M… được thiết kế đơn giản",KDE200; KDE300A; KDE500M,,,,,
102,https://hlauto.vn,7/4/2026,"Các dòng như GD200A, GD20, CHV110… có thể ứng dụng từ điều khiển quạt, bơm đến máy nén, máy ép.",quạt; bơm; máy nén; máy ép,GD200A; GD20; CHV110,,,,
103,https://hlauto.vn,7/4/2026,"Delta là hãng Đài Loan nổi bật với các dòng như VFD-EL, VFD-M, VFD-E… thường dùng trong hệ thống tủ điện, dây chuyền tự động",tủ điện; dây chuyền tự động,VFD-EL;  VFD-M; VFD-E,,,,
104,https://hlauto.vn,7/4/2026,"Trong số hơn 170 mã lỗi trong bảng mã lỗi biến tần Delta, chỉ khoảng 30 mã lỗi là thường xuyên xuất hiện trong thực tế vận hành – đặc biệt với các dòng biến tần như VFD-M, VFD-EL, MS300, C2000, v.v",biến tần Delta; biến tần; VFD-M; VFD-EL; MS300; C2000,,,,,
105,https://hlauto.vn,7/4/2026,"Khi biến tần báo lỗi với mã bắt đầu bằng “OC”, anh em kỹ thuật cần hiểu ngay đây là lỗi quá dòng",biến tần,,lỗi quá dòng,OC,,
106,https://hlauto.vn,7/4/2026,"Khi biến tần hiển thị mã lỗi bắt đầu bằng “OV”, anh em cần nhận định ngay đây là lỗi quá áp – tức là điện áp vượt quá ngưỡng cho phép, thường là ở ngõ vào (input) hoặc ngõ ra (output)",,,điện áp vượt quá ngưỡng cho phép,OV,,
107,https://hlauto.vn,7/4/2026,"Mã lỗi bắt đầu bằng “LV” là dấu hiệu biến tần phát hiện điện áp thấp bất thường, thường do nguồn vào sụt áp, dây nguồn nhỏ, hoặc hệ thống điện không ổn định.",biến tần,,điện áp thấp bất thường,LV,,
108,https://hlauto.vn,7/4/2026,"Dịch vụ sửa biến tần Siemens và các dòng MICROMASTER 440, SINAMICS G120, V20, V90 tại Hà Nội",biến tần Siemens; MICROMASTER 440; SINAMICS G120; V20; V90,,,,,
109,https://hlauto.vn,7/4/2026,"Ở các khu công nghiệp Việt Nam, Siemens xuất hiện khá phổ biến với nhiều thế hệ sản phẩm khác nhau",,,,,khu công nghiệp Việt Nam,
110,https://hlauto.vn,7/4/2026,"SINAMICS V20 – dòng phổ thông, nhỏ gọn, phổ biến trong băng tải, bơm nhỏ, quạt công nghiệp",băng tải; bơm nhỏ; quạt công nghiệp,SINAMICS V20,,,,
111,https://hlauto.vn,7/4/2026,"F0001 Overcurrent là quá dòng,biến tần phát hiện dòng đầu ra vượt ngưỡng",biến tần,,dòng đầu ra vượt ngưỡng,F0001,,
112,https://hlauto.vn,7/4/2026,"F0002 Overvoltage là quá áp DC bus, năng lượng phản hồi từ motor (khi giảm tốc nhanh) làm điện áp DC bus vượt ngưỡng",motor,,điện áp DC bus vượt ngưỡng,F0002,,
113,https://hlauto.vn,7/4/2026,"F0003 Undervoltage là thiếu áp, điện áp DC bus sụt thấp",,,điện áp DC bus sụt thấp,F0003,,
114,https://hlauto.vn,7/4/2026,F0003 do mất pha tạm thời hoặc sụt áp lưới đơn lẻ,,,mất pha tạm thời; sụt áp lưới đơn lẻ,F0003,,
115,https://hlauto.vn,7/4/2026,Ca sửa biến tần Siemens G120 22kW tại xưởng gỗ,biến tần Siemens G120 22kW,,,,xưởng gỗ,
116,https://hlauto.vn,7/4/2026,"chỉ thay 4 tụ DC bị phồng và vệ sinh toàn bộ bo mạch, lỗi F0002 biến mất hoàn toàn",,tụ DC; bo mạch,,F0002,,
117,https://hlauto.vn,7/4/2026,"Triệu chứng Mỗi sáng khởi động ca đầu đều báo F0001 , motor giật rồi dừng.",,motor,giật rồi dừng,F0001,,
118,https://hlauto.vn,7/4/2026,"Sửa chữa biến tần Siemens không phải lúc nào cũng là hàn, thay linh kiện.",biến tần Siemens,,,,,
119,https://hlauto.vn,7/4/2026,"Bối cảnh Bơm ly tâm cấp nước công nghiệp, thường xuyên bật/tắt theo áp suất, đôi lúc dừng khẩn cấp.",Bơm ly tâm cấp nước công nghiệp,,"bật/tắt theo áp suất, đôi lúc dừng khẩn cấp.",,,
120,https://hlauto.vn,7/4/2026,"Triệu chứng F0002 xuất hiện mỗi khi dừng gấp, thỉnh thoảng F0003 vào giờ cao điểm tiêu thụ điện.",,,,F0002; F0003,,
121,https://hlauto.vn,7/4/2026,Hai lỗi khác nhau (F0002 và F0003 ) có cùng một phần nguyên nhân gốc rễ là điện trở xả thiếu và nguồn lưới yếu.,,điện trở xả; nguồn lưới,,F0002; F0003,,
122,https://hlauto.vn,7/4/2026,Triệu chứng F3001 xuất hiện ngắt quãng sau khi dừng tải nặng. Một lần xuất hiện cả F3801 sau va chạm cơ học vào tủ điện.,tủ điện,,,F3001; F3801,,
123,https://hlauto.vn,7/4/2026,"Bối cảnh Máy bào gỗ, môi trường bụi mùn cưa dày đặc, hệ thống an toàn STO, điện trở xả gắn ngoài tủ.",Máy bào gỗ,điện trở xả,,,,
124,https://hlauto.vn,7/4/2026,"Lỗi F0001 , F0002 , F3001 , F3801 lặp lại nhiều lần sau khi đã kiểm tra cơ bản.",,,,F0001; F0002; F3001; F3801,,
125,https://suadiencongnghiep.vn,7/4/2026,"Các thiết bị như MCCB, MCB, contactor, relay hoặc biến tần sau thời gian dài sử dụng có thể bị hao mòn, oxy hóa hoặc mất khả năng bảo vệ.",,MCCB; MCB; contactor; relay; biến tần,,,,
126,https://suadiencongnghiep.vn,7/4/2026,"Xử lý các sự cố tủ phân phối, tủ điều khiển máy sản xuất, tủ bù hạ thế, hệ thống khởi động từ, relay, aptomat (MCCB/ACB).",tủ phân phối; tủ điều khiển máy sản xuất; tủ bù hạ thế; hệ thống khởi động từ,relay; aptomat (MCCB/ACB),,,,
127,https://suadiencongnghiep.vn,7/4/2026,"Để ngăn ngừa triệt để, doanh nghiệp nên nhờ Long Gia lắp đặt rơ le bảo vệ mất pha, đảo pha (Phase Failure Relay) vào tủ điện điều khiển tổng.",tủ điện điều khiển tổng,"rơ le bảo vệ mất pha, đảo pha",,,,
128,https://suadiencongnghiep.vn,7/4/2026,"Các máy phay CNC cũ không được trang bị DRO để hiển thị vị trí chính xác của các trục X, Y, Z.",máy phay CNC cũ,"DRO; trục X, Y, Z",,,,
129,https://suadiencongnghiep.vn,7/4/2026,"Việc thiếu các tính năng hiện đại trên máy phay mini cũ là một “nút thắt cổ chai” lớn, làm chậm tốc độ làm việc, tăng cường các thao tác thủ công và khiến máy không thể đạt được hiệu suất của các máy thế hệ mới.",máy phay mini cũ; các máy thế hệ mới,,,,,
130,https://suadiencongnghiep.vn,7/4/2026,"Hệ thống điều khiển lỗi thời là một trong những bất cập lớn nhất của máy phay mini CNC cũ, vì nó ảnh hưởng trực tiếp đến khả năng vận hành, lập trình và hiệu suất tổng thể của máy.",máy phay mini CNC cũ,Hệ thống điều khiển,,,,
131,https://suadiencongnghiep.vn,7/4/2026,"Khả năng nâng cấp hạn chế là một trong những bất cập lớn và ít được chú ý của máy phay mini cũ, khiến chúng trở thành một khoản đầu tư không bền vững về lâu dài.",máy phay mini cũ,,,,,
132,https://suadiencongnghiep.vn,7/4/2026,Những chiếc máy phay cơ đã qua sử dụng trở thành lựa chọn hấp dẫn để bắt đầu hoặc mở rộng năng lực gia công mà không cần một khoản đầu tư khổng lồ,máy phay cơ đã qua sử dụng,,,,,
133,https://suadiencongnghiep.vn,7/4/2026,"Sau nhiều năm sử dụng, ren của vít me và đai ốc sẽ bị mòn, tạo ra một khoảng trống (rơ) nhất định.",,ren của vít me; đai ốc,"bị mòn, tạo ra một khoảng trống (rơ) nhất định",,,
